"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.5","11.4","119.6","205","1004","0","0"
"2","5.1","23.3","106.6","289","1294","28","0"
"3","7.1","32.4","110.7","258","1187","26","0"
"4","9.7","44.3","110.8","257","1185","27","0"
"5","11.8","53.8","110.8","257","1185","27","0"
"6","14.4","65.8","107.4","283","1272","26","0"
"7","16.4","75.1","108.8","272","1235","25","0"
"8","19.0","87.0","109.9","264","1207","25","0"
"9","21.6","99.0","109.6","266","1214","26","0"
"10","23.6","108.2","109.6","266","1214","26","0"
"11","26.2","120.0","110.0","263","1205","25","0"
"12","28.8","131.8","110.0","263","1205","25","0"
"13","30.9","141.0","110.0","263","1205","25","0"
"14","33.4","153.0","109.5","267","1217","26","0"
"15","35.5","162.2","109.5","267","1217","26","0"
"16","38.1","174.1","110.1","262","1202","25","0"
"17","40.7","186.0","109.6","266","1214","25","0"
"18","42.7","195.1","109.6","266","1214","25","0"
"19","45.3","207.0","110.7","258","1187","25","0"
"20","47.4","216.2","110.6","259","1190","25","0"
"21","49.9","228.1","110.1","262","1202","26","0"
"22","52.5","240.0","110.1","262","1202","25","0"
"23","54.6","249.2","110.1","262","1202","25","0"
"24","57.2","260.9","110.9","257","1183","25","0"
"25","59.7","272.8","110.4","260","1195","25","0"
"26","61.8","282.0","110.4","260","1195","25","0"
"27","64.4","293.9","109.8","264","1209","25","0"
"28","67.0","305.9","109.4","267","1219","25","0"
"29","69.0","315.1","109.4","267","1219","25","0"
"30","71.6","327.1","109.3","268","1222","26","0"
"31","73.6","336.4","109.3","268","1222","26","0"
"32","76.2","348.3","109.7","265","1212","25","0"
"33","78.8","360.1","110.6","259","1190","25","0"
"34","80.9","369.1","110.6","259","1190","25","0"
"35","83.5","381.0","111.4","253","1171","25","0"
"36","85.5","390.4","110.3","261","1197","25","0"
"37","88.1","402.3","108.3","276","1248","26","0"
